iteration 185
theta0 -2.359223927328458e-18
theta1 -0.7227702364652866

iteration 186
theta0 -2.0354088784794537e-18
theta1 -0.7241039283085388

iteration 187
theta0 -2.6830389761774616e-18
theta1 -0.7254242832333584

iteration 188
theta0 -2.1741867565575984e-18
theta1 -0.7267314346089299

iteration 189
theta0 -2.4517425127138877e-18
theta1 -0.7280255144707456

iteration 190
theta0 -2.312964634635743e-18
theta1 -0.7293066535339432

iteration 191
theta0 -2.7292982688701767e-18
theta1 -0.7305749812065088

iteration 192
theta0 -2.266705341943028e-18
theta1 -0.7318306256023487

iteration 193
theta0 -2.220446049250313e-18
theta1 -0.7330737135542302

iteration 194
theta0 -2.636779683484747e-18
theta1 -0.7343043706265929

iteration 195
theta0 -2.1741867565575984e-18
theta1 -0.735522721128232

iteration 196
theta0 -1.989149585786739e-18
theta1 -0.7367288881248547

iteration 197
theta0 -2.220446049250313e-18
theta1 -0.7379229934515111

iteration 198
theta0 -1.8503717077085942e-18
theta1 -0.739105157724901

iteration 199
theta0 -2.359223927328458e-18
theta1 -0.740275500355557

iteration 200
theta0 -2.0816681711721684e-18
theta1 -0.7414341395599064

iteration 201
theta0 -2.8680761469483214e-18
theta1 -0.7425811923722124

iteration 202
theta0 -2.359223927328458e-18
theta1 -0.7437167746563953

iteration 203
theta0 -2.498001805406602e-18
theta1 -0.7448410011177363

iteration 204
theta0 -2.7292982688701767e-18
theta1 -0.745953985314464

iteration 205
theta0 -2.220446049250313e-18
theta1 -0.7470558396692244

iteration 206
theta0 -2.8218168542556063e-18
theta1 -0.7481466754804372

iteration 207
theta0 -2.4517425127138877e-18
theta1 -0.7492266029335378
